FORNECEDOR;CÓDIGO;DESCRIÇÃO DO PRODUTO;REFERÊNCIA;;UN.;QTD.ESTQ;VLR. ESTQ;QTD. FATUR;FATURAMENTO;TOT.CUSTO;MARG. VALOR;MARG. %;LITROS;KILOS;REP. %;ACUM. %;mês
00000002-ANJO QUIMICA DO BRASIL LTDA;84658;MASSA POLIESTER REVOLUTION 1KG ANJO;;;UN;65,00;2.015,00;90,00;4.113,31;2.790,00;1.323,31;32,17;0,00;0,00;0,14;0,14;MARÇO
00000008-PINCEIS ATLAS S.A.;84423;ROLO LA SINTETICA RESIMAX 23CM 339/5A ATLAS;;;UN;83,00;1.212,63;83,00;1.563,97;1.122,16;441,81;28,25;0,00;0,00;0,05;0,20;MARÇO
00000008-PINCEIS ATLAS S.A.;23878;GARFO GAIOLA S/ ROSCA AÇO 400/23SR ATLAS;;;UN;333,00;2.204,46;107,00;1.039,63;669,76;369,87;35,58;0,00;0,00;0,04;0,23;MARÇO
00000008-PINCEIS ATLAS S.A.;84420;ROLO POLIAMIDA ANTIGOTA 23CM 321/10 ATLAS;;;UN;75,00;1.152,00;44,00;878,52;679,36;199,16;22,67;0,00;0,00;0,03;0,27;MARÇO
00000008-PINCEIS ATLAS S.A.;10118;TRINCHA 395 2  PINTURA LATEX E ACRILICA 395/5 ATLAS;;;UN;165,00;683,10;164,00;873,29;624,84;248,45;28,45;0,00;0,00;0,03;0,30;MARÇO
00000008-PINCEIS ATLAS S.A.;84422;ROLO LA SINTETICA RESIMAX 9CM 339/9A ATLAS;;;UN;82,00;625,66;78,00;796,31;552,24;244,07;30,65;0,00;0,00;0,03;0,32;MARÇO
00000008-PINCEIS ATLAS S.A.;10117;TRINCHA 395 2 1/2  PINTURA LATEX E ACRILICA 395/6 ATLAS;;;UN;291,00;1.475,37;106,00;725,07;524,70;200,37;27,63;0,00;0,00;0,03;0,35;MARÇO
00000008-PINCEIS ATLAS S.A.;10120;TRINCHA 395 3  PINTURA LATEX E ACRILICA 395/7 ATLAS;;;UN;140,00;1.085,00;55,00;663,50;416,35;247,15;37,25;0,00;0,00;0,02;0,37;MARÇO
00000008-PINCEIS ATLAS S.A.;10121;TRINCHA 395 4  PINTURA LATEX E ACRILICA 395/9 ATLAS;;;UN;99,00;879,12;48,00;599,82;416,16;183,66;30,62;0,00;0,00;0,02;0,39;MARÇO
00000008-PINCEIS ATLAS S.A.;84435;ROLO DE LA MISTA 23CM 228/22 ATLAS;;;UN;79,00;1.072,03;33,00;590,40;443,19;147,21;24,93;0,00;0,00;0,02;0,41;MARÇO
00000008-PINCEIS ATLAS S.A.;20245;ESPATULA PLASTICA CELULOIDE 13,1CM 152/2 ATLAS;;;UN;753,00;1.024,08;231,00;504,66;311,85;192,81;38,21;0,00;0,00;0,02;0,43;MARÇO
00000008-PINCEIS ATLAS S.A.;10114;TRINCHA 395 1 1/2  PINTURA LATEX E ACRILICA 395/4 ATLAS;;;UN;235,00;763,75;94,00;474,39;282,00;192,39;40,56;0,00;0,00;0,02;0,45;MARÇO
00000008-PINCEIS ATLAS S.A.;84426;ROLO ESPUMA POLYESTER CINZA 9CM 406/9 ATLAS;;;UN;229,00;760,28;70,00;313,16;229,60;83,56;26,68;0,00;0,00;0,01;0,46;MARÇO
00000008-PINCEIS ATLAS S.A.;85484;DISCO ABRASIVO TELADO 225MM 080 AT14/80 ATLAS;FL;;DC;65,00;257,40;39,00;303,10;154,44;148,66;49,05;0,00;0,00;0,01;0,47;MARÇO
00000008-PINCEIS ATLAS S.A.;86939;ROLO PELE DE CARNEIRO EXTRA 23CM 322/22 ATLAS;;;UN;44,00;1.658,80;4,00;270,23;153,27;116,96;43,28;0,00;0,00;0,01;0,48;MARÇO
00000008-PINCEIS ATLAS S.A.;10115;TRINCHA 395 1  PINTURA LATEX E ACRILICA 395/3 ATLAS;;;UN;69,00;169,74;58,00;246,01;131,08;114,93;46,72;0,00;0,00;0,01;0,49;MARÇO
00000008-PINCEIS ATLAS S.A.;85716;KIT DE PINTURA ANTIRESPINGO 3 PEÇAS 2003 ATLAS;;;UN;26,00;383,24;10,00;238,79;171,80;66,99;28,05;0,00;0,00;0,01;0,50;MARÇO
00000008-PINCEIS ATLAS S.A.;84439;PROLONGADOR EXTENSOR DE ACO 3M 1700 ATLAS;;;UN;21,00;577,71;6,00;234,86;165,06;69,80;29,72;0,00;0,00;0,01;0,50;MARÇO
00000008-PINCEIS ATLAS S.A.;84424;ROLO LA SINTETICA RESIMAX 15CM 339/15A ATLAS;;;UN;63,00;689,85;12,00;220,20;130,20;90,00;40,87;0,00;0,00;0,01;0,51;MARÇO
00000008-PINCEIS ATLAS S.A.;85487;DISCO ABRASIVO TELADO 225MM 180 AT14/180 ATLAS;FL;;DC;91,00;360,36;40,00;219,86;158,40;61,46;27,95;0,00;0,00;0,01;0,52;MARÇO
00000008-PINCEIS ATLAS S.A.;10108;ESPATULA AÇO CROMADO 7,6CM 3  6255/12 ATLAS;;;UN;51,00;356,49;15,00;200,89;104,85;96,04;47,81;0,00;0,00;0,01;0,53;MARÇO
00000008-PINCEIS ATLAS S.A.;84702;ROLO TEXTURA RUSTICA 23CM 1155 ATLAS;;;UN;147,00;4.017,51;6,00;188,58;163,98;24,60;13,04;0,00;0,00;0,01;0,53;MARÇO
00000008-PINCEIS ATLAS S.A.;85717;KIT DE PINTURA E ACABAMENTO 5 PEÇAS AT1002 ATLAS;;;UN;34,00;854,42;5,00;170,19;111,05;59,14;34,75;0,00;0,00;0,01;0,54;MARÇO
00000008-PINCEIS ATLAS S.A.;85225;ROLO MICROFIBRA RENDEPLUS 23CM 327/23 ATLAS;;;UN;59,00;567,58;10,00;164,85;89,00;75,85;46,01;0,00;0,00;0,01;0,54;MARÇO
00000008-PINCEIS ATLAS S.A.;85741;FILME MASCARAMENTO C/ FITA CREPE 45CMX20MT AT2220/45 ATLAS;;;DC;31,00;305,66;13,00;152,65;126,62;26,03;17,05;0,00;0,00;0,01;0,55;MARÇO
00000008-PINCEIS ATLAS S.A.;10107;ESPATULA AÇO CROMADO 6,4CM 2 1/2  6255/10 ATLAS;;;UN;61,00;398,94;13,00;148,07;85,02;63,05;42,58;0,00;0,00;0,01;0,55;MARÇO
00000008-PINCEIS ATLAS S.A.;85069;DESEMPENADEIRA ACO LISA 12X35 AT248/2 ATLAS;FL;;UN;28,00;757,68;3,00;143,91;81,18;62,73;43,59;0,00;0,00;0,01;0,56;MARÇO
00000008-PINCEIS ATLAS S.A.;84425;ROLO ESPUMA POLYESTER CINZA 5CM 406/5 ATLAS;;;UN;228,00;615,60;40,00;143,76;106,80;36,96;25,71;0,00;0,00;0,01;0,56;MARÇO
00000008-PINCEIS ATLAS S.A.;10106;ESPATULA AÇO CROMADO 3,5CM 1 1/2  6255/6 ATLAS;;;UN;53,00;297,86;11,00;132,99;61,93;71,06;53,43;0,00;0,00;0,00;0,57;MARÇO
00000008-PINCEIS ATLAS S.A.;10109;ESPATULA AÇO CROMADO 10CM 4  6255/16 ATLAS;;;UN;49,00;407,68;11,00;129,30;91,52;37,78;29,22;0,00;0,00;0,00;0,57;MARÇO
00000008-PINCEIS ATLAS S.A.;85742;FILME MASCARAMENTO C/ FITA CREPE 90CMX20MT AT2220/90 ATLAS;;;DC;29,00;330,02;10,00;126,10;119,80;6,30;5,00;0,00;0,00;0,00;0,58;MARÇO
00000008-PINCEIS ATLAS S.A.;84438;BANDEJA P/ PINTURA DE PLASTICO PRETA 2,7L 1523P ATLAS;;;UN;26,00;180,96;14,00;116,94;76,02;40,92;34,99;0,00;0,00;0,00;0,58;MARÇO
00000008-PINCEIS ATLAS S.A.;85485;DISCO ABRASIVO TELADO 225MM 120 AT14/120 ATLAS;FL;;DC;166,00;657,36;16,00;116,89;63,36;53,53;45,80;0,00;0,00;0,00;0,59;MARÇO
00000008-PINCEIS ATLAS S.A.;85224;ROLO MICROFIBRA RENDEPLUS 23CM 327/19 ATLAS;;;UN;93,00;860,25;7,00;110,63;64,75;45,88;41,47;0,00;0,00;0,00;0,59;MARÇO
00000008-PINCEIS ATLAS S.A.;85045;TRINCHA 319 2  PINTURA ESMALTE 319/5 ATLAS;;;UN;54,00;243,00;14,00;104,83;56,42;48,41;46,18;0,00;0,00;0,00;0,59;MARÇO
00000008-PINCEIS ATLAS S.A.;85046;TRINCHA 319 2 1/2  PINTURA ESMALTE 319/6 ATLAS;;;UN;55,00;359,15;9,00;99,15;51,48;47,67;48,08;0,00;0,00;0,00;0,60;MARÇO
00000008-PINCEIS ATLAS S.A.;85047;TRINCHA 319 3  PINTURA ESMALTE 319/7 ATLAS;;;UN;49,00;432,18;7,00;98,58;56,98;41,60;42,20;0,00;0,00;0,00;0,60;MARÇO
00000008-PINCEIS ATLAS S.A.;20029;ESPATULA AÇO CROMADO 12,7CM 6255/20 ATLAS;;;UN;39,00;367,38;7,00;96,28;65,94;30,34;31,51;0,00;0,00;0,00;0,60;MARÇO
00000008-PINCEIS ATLAS S.A.;84431;ROLO LA SINTETICA ANTIRESPINGO 23CM 773/10 ATLAS;;;UN;56,00;389,20;10,00;95,81;68,00;27,81;29,03;0,00;0,00;0,00;0,61;MARÇO
00000008-PINCEIS ATLAS S.A.;84421;ROLO LA SINTETICA RESIMAX 5CM 339/55A ATLAS;;;UN;33,00;171,93;10,00;84,84;48,20;36,64;43,19;0,00;0,00;0,00;0,61;MARÇO
00000008-PINCEIS ATLAS S.A.;85053;BANDEJA P/ PINTURA DE PLASTICO PRETA 1,3L 1415 ATLAS;;;UN;15,00;65,55;15,00;84,18;56,40;27,78;33,00;0,00;0,00;0,00;0,61;MARÇO
00000008-PINCEIS ATLAS S.A.;85038;TRINCHA 315 2 1/2  PINTURA RECORTE E ACAB. PLUMATEK AT315/6 ATLAS;;;UN;32,00;221,12;9,00;83,87;57,33;26,54;31,64;0,00;0,00;0,00;0,62;MARÇO
00000008-PINCEIS ATLAS S.A.;85035;TRINCHA 315 1  PINTURA RECORTE E ACAB. PLUMATEK AT315/3 ATLAS;;;UN;36,00;115,56;18,00;82,91;56,07;26,84;32,37;0,00;0,00;0,00;0,62;MARÇO
00000008-PINCEIS ATLAS S.A.;85486;DISCO ABRASIVO TELADO 225MM 150 AT14/150 ATLAS;FL;;DC;110,00;469,70;10,00;80,99;42,70;38,29;47,28;0,00;0,00;0,00;0,62;MARÇO
00000008-PINCEIS ATLAS S.A.;85037;TRINCHA 315 2  PINTURA RECORTE E ACAB. PLUMATEK AT315/5 ATLAS;;;UN;27,00;140,13;9,00;78,90;43,02;35,88;45,48;0,00;0,00;0,00;0,63;MARÇO
00000008-PINCEIS ATLAS S.A.;85057;ROLO POLIAMIDA ANTIGOTA 9CM 321/9 ATLAS;;;UN;152,00;1.222,08;6,00;75,65;47,82;27,83;36,79;0,00;0,00;0,00;0,63;MARÇO
00000008-PINCEIS ATLAS S.A.;85052;ROLO+GARFO TEXTURA RUSTICA 10CM AT155/10SR ATLAS;;;UN;41,00;842,14;2,00;65,00;33,62;31,38;48,28;0,00;0,00;0,00;0,63;MARÇO
00000008-PINCEIS ATLAS S.A.;85227;ROLO LA SINTETICA ANTIRESPINGO 9CM AT773/9 ATLAS;;;UN;70,00;376,60;7,00;51,31;32,20;19,11;37,24;0,00;0,00;0,00;0,63;MARÇO
00000008-PINCEIS ATLAS S.A.;85061;MISTURADOR DE TINTA METALICO 61CM 176/2 ATLAS;;;UN;14,00;366,24;1,00;50,14;26,16;23,98;47,83;0,00;0,00;0,00;0,63;MARÇO
00000008-PINCEIS ATLAS S.A.;10119;TRINCHA 395 3/4  PINTURA LATEX E ACRILICA 395/2 ATLAS;;;UN;85,00;136,00;18,00;48,51;26,46;22,05;45,45;0,00;0,00;0,00;0,64;MARÇO
00000008-PINCEIS ATLAS S.A.;85056;ROLO POLIAMIDA ANTIGOTA 15CM 321/15 ATLAS;;;UN;40,00;486,00;3,00;47,58;36,12;11,46;24,09;0,00;0,00;0,00;0,64;MARÇO
00000008-PINCEIS ATLAS S.A.;84428;ESPATULA AÇO CROMADO 15CM AT6255/21 ATLAS;;;UN;34,00;410,04;2,00;46,01;24,12;21,89;47,58;0,00;0,00;0,00;0,64;MARÇO
00000008-PINCEIS ATLAS S.A.;84434;ROLO DE LA MISTA 15CM AT228/15 ATLAS;;;UN;68,00;599,08;3,00;42,92;26,13;16,79;39,12;0,00;0,00;0,00;0,64;MARÇO
00000008-PINCEIS ATLAS S.A.;87017;DESEMPENADEIRA ACO TEMPERADO DENTADA 12X25 AT145 ATLAS;;;UN;23,00;669,76;1,00;42,00;29,12;12,88;30,67;0,00;0,00;0,00;0,64;MARÇO
00000008-PINCEIS ATLAS S.A.;84430;ROLO BRASILEIRINHO 23CM AT2014 ATLAS;;;UN;69,00;975,66;2,00;41,25;26,18;15,07;36,53;0,00;0,00;0,00;0,64;MARÇO
00000008-PINCEIS ATLAS S.A.;85044;TRINCHA 319 1 1/2  PINTURA ESMALTE 319/4 ATLAS;;;UN;39,00;147,81;6,00;40,79;21,00;19,79;48,52;0,00;0,00;0,00;0,64;MARÇO
00000008-PINCEIS ATLAS S.A.;85043;TRINCHA 319 1  PINTURA ESMALTE 319/3 ATLAS;;;UN;45,00;139,05;8,00;40,32;22,16;18,16;45,04;0,00;0,00;0,00;0,65;MARÇO
00000008-PINCEIS ATLAS S.A.;85065;ROLO LA DE CARNEIRO MAXILÃ 23CM AT328/25 ATLAS;;;UN;40,00;914,40;1,00;37,43;21,95;15,48;41,36;0,00;0,00;0,00;0,65;MARÇO
00000008-PINCEIS ATLAS S.A.;85488;DISCO ABRASIVO TELADO 225MM 220 AT14/220 ATLAS;FL;;DC;104,00;411,84;6,00;35,58;23,76;11,82;33,22;0,00;0,00;0,00;0,65;MARÇO
00000008-PINCEIS ATLAS S.A.;85036;TRINCHA 315 1 1/2  PINTURA RECORTE E ACAB. PLUMATEK AT315/4 ATLAS;;;UN;14,00;54,04;5,00;35,58;19,85;15,73;44,21;0,00;0,00;0,00;0,65;MARÇO
00000008-PINCEIS ATLAS S.A.;85743;FILME MASCARAMENTO C/ FITA CREPE 1,5MTX20MT AT2220/150 ATLAS;;;DC;34,00;551,48;1,00;35,00;17,00;18,00;51,43;0,00;0,00;0,00;0,65;MARÇO
00000008-PINCEIS ATLAS S.A.;85276;ROLO MICROFIBRA MONARCA 23CM AT732/25 ATLAS;;;UN;33,00;628,65;1,00;34,90;19,05;15,85;45,42;0,00;0,00;0,00;0,65;MARÇO
00000008-PINCEIS ATLAS S.A.;10116;TRINCHA 395 1/2  PINTURA LATEX E ACRILICA 395/1 ATLAS;;;UN;96,00;145,92;13,00;34,85;18,33;16,52;47,40;0,00;0,00;0,00;0,65;MARÇO
00000008-PINCEIS ATLAS S.A.;87015;DESEMPENADEIRA ACO TEMPERADO LISA 12X25 133 ATLAS;;;UN;19,00;509,96;1,00;34,43;26,84;7,59;22,04;0,00;0,00;0,00;0,65;MARÇO
00000008-PINCEIS ATLAS S.A.;85068;DESEMPENADEIRA ACO LISA 12X25CM AT148/2 ATLAS;FL;;UN;8,00;140,64;1,00;33,00;17,58;15,42;46,73;0,00;0,00;0,00;0,66;MARÇO
00000008-PINCEIS ATLAS S.A.;85060;MISTURADOR DE TINTA METALICO 42CM 176/1 ATLAS;;;UN;16,00;242,24;1,00;30,00;15,14;14,86;49,53;0,00;0,00;0,00;0,66;MARÇO
00000008-PINCEIS ATLAS S.A.;87098;SUPORTE P/ MEIA LIXA PLASTICO 23X10,5 AT100/4 ATLAS;;;UN;11,00;273,79;1,00;28,62;24,89;3,73;13,03;0,00;0,00;0,00;0,66;MARÇO
00000008-PINCEIS ATLAS S.A.;85226;ROLO LA SINTETICA ANTIRESPINGO 5CM AT773/5 ATLAS;;;UN;58,00;249,98;4,00;24,40;15,92;8,48;34,75;0,00;0,00;0,00;0,66;MARÇO
00000008-PINCEIS ATLAS S.A.;85067;PAD P/ PINTURA C/ CABO AJUSTAVEL AT750/80 ATLAS;;;UN;26,00;353,34;1,00;24,13;20,98;3,15;13,05;0,00;0,00;0,00;0,66;MARÇO
00000008-PINCEIS ATLAS S.A.;85048;TRINCHA 319 4  PINTURA ESMALTE 319/9 ATLAS;;;UN;38,00;433,96;1,00;22,99;11,42;11,57;50,33;0,00;0,00;0,00;0,66;MARÇO
00000008-PINCEIS ATLAS S.A.;22218;ROLO VELUDO 9CM 329/9 ATLAS;;;UN;51,00;427,38;1,00;22,39;8,38;14,01;62,57;0,00;0,00;0,00;0,66;MARÇO
00000008-PINCEIS ATLAS S.A.;85034;TRINCHA 315 3/4  PINTURA RECORTE E ACAB. PLUMATEK AT315/2 ATLAS;;;UN;56,00;123,76;5,00;22,25;10,15;12,10;54,38;0,00;0,00;0,00;0,66;MARÇO
00000008-PINCEIS ATLAS S.A.;85040;TRINCHA 315 4  PINTURA RECORTE E ACAB. PLUMATEK AT315/9 ATLAS;;;UN;52,00;619,32;1,00;21,88;10,99;10,89;49,77;0,00;0,00;0,00;0,66;MARÇO
00000008-PINCEIS ATLAS S.A.;84703;ROLO TEXTURA FINA 23CM 110/75 ATLAS;;;UN;35,00;430,50;1,00;21,72;12,17;9,55;43,97;0,00;0,00;0,00;0,66;MARÇO
00000008-PINCEIS ATLAS S.A.;85054;BANDEJA P/ PINTURA DE PLASTICO PRETA 3,6L 1534P ATLAS;;;UN;38,00;405,08;1,00;20,00;8,81;11,19;55,95;0,00;0,00;0,00;0,66;MARÇO
00000008-PINCEIS ATLAS S.A.;84427;ROLO ESPUMA POLYESTER CINZA 15CM 406/15 ATLAS;;;UN;149,00;791,19;2,00;16,51;10,46;6,05;36,64;0,00;0,00;0,00;0,66;MARÇO
00000008-PINCEIS ATLAS S.A.;85228;ROLO LA SINTETICA ANTIRESPINGO 15CM AT773/15 ATLAS;;;UN;46,00;276,00;2,00;15,68;11,90;3,78;24,11;0,00;0,00;0,00;0,66;MARÇO
00000008-PINCEIS ATLAS S.A.;85033;TRINCHA 315 1/2  PINTURA RECORTE E ACAB. PLUMATEK AT315/1 ATLAS;;;UN;42,00;78,12;4,00;14,04;6,88;7,16;51,00;0,00;0,00;0,00;0,67;MARÇO
00000008-PINCEIS ATLAS S.A.;10105;ESCOVA DE AÇO 3 FILEIRAS 1840/3 ATLAS;;;UN;21,00;165,48;1,00;13,30;7,88;5,42;40,75;0,00;0,00;0,00;0,67;MARÇO
00000008-PINCEIS ATLAS S.A.;85058;ROLO POLIAMIDA ANTIGOTA 5CM AT321/5 ATLAS;;;UN;1,00;6,05;1,00;12,00;6,05;5,95;49,58;0,00;0,00;0,00;0,67;MARÇO
00000008-PINCEIS ATLAS S.A.;87005;FIBRA ABRASIVA POS OBRA 11,5X29MM AT95/40 ATLAS;;;DC;15,00;79,20;1,00;9,30;5,28;4,02;43,23;0,00;0,00;0,00;0,67;MARÇO
00000008-PINCEIS ATLAS S.A.;85041;TRINCHA 319 1/2  PINTURA ESMALTE 319/1 ATLAS;;;UN;46,00;75,44;3,00;8,54;4,50;4,04;47,31;0,00;0,00;0,00;0,67;MARÇO
00000008-PINCEIS ATLAS S.A.;85042;TRINCHA 319 3/4  PINTURA ESMALTE 319/2 ATLAS;;;UN;43,00;89,01;2,00;8,44;3,84;4,60;54,50;0,00;0,00;0,00;0,67;MARÇO
00000008-PINCEIS ATLAS S.A.;84436;BROXA PINTURA RETANGULAR 15X6CM 800/1 ATLAS;;;UN;55,00;222,75;1,00;8,00;4,05;3,95;49,38;0,00;0,00;0,00;0,67;MARÇO
00000008-PINCEIS ATLAS S.A.;85062;ESCOVA DE AÇO ECONOMICA 3 FILEIRAS AT1820/3 ATLAS;;;UN;30,00;107,40;1,00;7,00;3,54;3,46;49,43;0,00;0,00;0,00;0,67;MARÇO
00000008-PINCEIS ATLAS S.A.;85491;PALHA DE AÇO N.2 ATLAS;;;UN;7,00;8,75;2,00;4,80;2,50;2,30;47,92;0,00;0,00;0,00;0,67;MARÇO
00000009-PPG INDUSTRIAL DO BRASIL TINTAS E VERNIZES LTDA;10155;MASSA DE POLIR N2 BRANCA 990GR PPG;;;UN;117,00;3.113,37;52,00;2.291,50;1.306,24;985,26;43,00;0,00;0,00;0,08;0,75;MARÇO
00000009-PPG INDUSTRIAL DO BRASIL TINTAS E VERNIZES LTDA;10123;PRIMER MULTIFILL AUTOCOLOR PPG;;;UN;84,00;3.015,60;32,00;1.818,28;1.084,16;734,12;40,37;0,00;0,00;0,06;0,81;MARÇO
00000015-H.S BOND COMERCIO DE ADESIVOS LTDA;10160;COLA INSTANTANEO 83 20G HS BOND;FL;;UN;0,00;0,00;1,00;13,41;5,00;8,41;62,71;0,00;0,00;0,00;0,81;MARÇO
00000021-SAINT- GOBAIN DO BRASIL PROD. IND. E CONSTR. LTDA;10236;DISCO HOOKIT 080 NORTON;;;UN;8.172,00;19.531,08;7.395,00;23.133,86;17.156,40;5.977,46;25,84;0,00;0,00;0,81;1,62;MARÇO
00000021-SAINT- GOBAIN DO BRASIL PROD. IND. E CONSTR. LTDA;10238;LIXA SECO A275 Nº 080 NORTON;;;UN;6.732,20;15.484,06;5.871,00;18.360,58;13.151,04;5.209,54;28,37;0,00;0,00;0,64;2,26;MARÇO
00000021-SAINT- GOBAIN DO BRASIL PROD. IND. E CONSTR. LTDA;10243;LIXA SECO A275 Nº 320 NORTON;;;UN;5.723,00;11.331,54;5.109,00;16.147,08;9.860,37;6.286,71;38,93;0,00;0,00;0,56;2,82;MARÇO
00000021-SAINT- GOBAIN DO BRASIL PROD. IND. E CONSTR. LTDA;10230;DISCO HOOKIT 220 NORTON;;;UN;3.047,00;7.282,33;4.061,00;12.752,80;9.421,52;3.331,28;26,12;0,00;0,00;0,45;3,27;MARÇO
00000021-SAINT- GOBAIN DO BRASIL PROD. IND. E CONSTR. LTDA;10226;DISCO HOOKIT 150 NORTON;;;UN;3.253,00;7.969,85;3.524,00;10.941,77;8.175,68;2.766,09;25,28;0,00;0,00;0,38;3,65;MARÇO
00000021-SAINT- GOBAIN DO BRASIL PROD. IND. E CONSTR. LTDA;10232;DISCO HOOKIT 320 NORTON;;;UN;3.243,62;7.492,76;3.347,00;10.503,92;7.530,75;2.973,17;28,31;0,00;0,00;0,37;4,02;MARÇO
00000021-SAINT- GOBAIN DO BRASIL PROD. IND. E CONSTR. LTDA;10242;LIXA SECO A275 Nº 220 NORTON;;;UN;3.322,00;7.640,60;3.088,00;9.720,77;6.917,12;2.803,65;28,84;0,00;0,00;0,34;4,36;MARÇO
00000021-SAINT- GOBAIN DO BRASIL PROD. IND. E CONSTR. LTDA;10244;LIXA SECO A275 Nº 400 NORTON;;;UN;3.037,00;6.013,26;2.835,00;9.224,47;5.471,55;3.752,92;40,68;0,00;0,00;0,32;4,68;MARÇO
00000021-SAINT- GOBAIN DO BRASIL PROD. IND. E CONSTR. LTDA;10245;LIXA SECO A275 Nº 600 NORTON;;;UN;2.909,00;5.759,82;2.515,00;8.111,58;4.853,95;3.257,63;40,16;0,00;0,00;0,28;4,96;MARÇO
00000021-SAINT- GOBAIN DO BRASIL PROD. IND. E CONSTR. LTDA;10246;LIXA SECO A275 Nº 800 NORTON;;;UN;2.143,00;4.243,14;2.185,00;6.798,53;4.217,05;2.581,48;37,97;0,00;0,00;0,24;5,20;MARÇO
00000021-SAINT- GOBAIN DO BRASIL PROD. IND. E CONSTR. LTDA;10240;LIXA SECO A275 Nº 150 NORTON;;;UN;1.771,00;4.073,30;1.413,00;4.494,97;3.165,12;1.329,85;29,59;0,00;0,00;0,16;5,36;MARÇO
00000021-SAINT- GOBAIN DO BRASIL PROD. IND. E CONSTR. LTDA;10237;DISCO HOOKIT 600 NORTON;;;UN;880,00;2.032,80;1.363,00;3.942,08;3.066,75;875,33;22,20;0,00;0,00;0,14;5,49;MARÇO
00000021-SAINT- GOBAIN DO BRASIL PROD. IND. E CONSTR. LTDA;10234;DISCO HOOKIT 400 NORTON;;;UN;1.797,00;4.402,65;1.161,00;3.861,19;2.693,52;1.167,67;30,24;0,00;0,00;0,13;5,63;MARÇO
00000021-SAINT- GOBAIN DO BRASIL PROD. IND. E CONSTR. LTDA;23425;FLAP DISCO P40 EVOLUTION 115X22 NORTON;;;UN;247,00;3.438,24;198,00;3.570,29;2.682,90;887,39;24,85;0,00;0,00;0,12;5,75;MARÇO
00000021-SAINT- GOBAIN DO BRASIL PROD. IND. E CONSTR. LTDA;21646;LIXADEIRA 6 3/16 MULTIFUNCIONAL NORTON;;;UN;2,00;1.865,46;2,00;2.198,46;1.756,76;441,70;20,09;0,00;0,00;0,08;5,83;MARÇO
00000021-SAINT- GOBAIN DO BRASIL PROD. IND. E CONSTR. LTDA;10213;DISCO DE CORTE BNA12 115X1.0X22.23MM NORTON;;;UN;362,00;2.204,58;272,00;2.050,68;1.612,96;437,72;21,35;0,00;0,00;0,07;5,90;MARÇO
00000021-SAINT- GOBAIN DO BRASIL PROD. IND. E CONSTR. LTDA;10224;DISCO HOOKIT 120 NORTON;;;UN;1.397,00;3.338,83;415,00;1.483,59;962,80;520,79;35,10;0,00;0,00;0,05;5,95;MARÇO
00000021-SAINT- GOBAIN DO BRASIL PROD. IND. E CONSTR. LTDA;10162;DISCO AVOS F900 P 036 115X22.23MM NORTON;;;UN;152,00;1.702,40;113,00;1.333,49;1.231,70;101,79;7,63;0,00;0,00;0,05;6,00;MARÇO
00000021-SAINT- GOBAIN DO BRASIL PROD. IND. E CONSTR. LTDA;21385;REDUTOR DE IMPACTO INTERFACE 152X0X6MM NORTON;;;PC;44,00;1.860,76;19,00;1.281,93;782,23;499,70;38,98;0,00;0,00;0,04;6,05;MARÇO
00000021-SAINT- GOBAIN DO BRASIL PROD. IND. E CONSTR. LTDA;10163;DISCO AVOS F900 P 050 115X22.23MM NORTON;;;UN;1.014,00;9.673,56;110,00;1.092,00;1.021,90;70,10;6,42;0,00;0,00;0,04;6,08;MARÇO
00000021-SAINT- GOBAIN DO BRASIL PROD. IND. E CONSTR. LTDA;20189;DISCO REMOVEDOR DE ADESIVO 95MM NORTON;;;UN;18,00;1.178,64;9,00;1.003,87;573,75;430,12;42,85;0,00;0,00;0,04;6,12;MARÇO
00000021-SAINT- GOBAIN DO BRASIL PROD. IND. E CONSTR. LTDA;23396;DISCO FLAP FIBRA CLASSIC R801 P040 115X22,23MM NORTON;;;UN;282,00;1.971,18;92,00;928,72;626,52;302,20;32,54;0,00;0,00;0,03;6,15;MARÇO
00000021-SAINT- GOBAIN DO BRASIL PROD. IND. E CONSTR. LTDA;10239;LIXA SECO A275 Nº 120 NORTON;;;UN;1.380,00;3.270,60;162,00;612,31;379,08;233,23;38,09;0,00;0,00;0,02;6,17;MARÇO
00000021-SAINT- GOBAIN DO BRASIL PROD. IND. E CONSTR. LTDA;10223;DISCO HOOKIT 800 NORTON;;;UN;1.147,00;2.649,57;147,00;527,25;335,16;192,09;36,43;0,00;0,00;0,02;6,19;MARÇO
00000021-SAINT- GOBAIN DO BRASIL PROD. IND. E CONSTR. LTDA;83825;DISCO DE LIXA SECO A396 DP P0040 152X1X6 NORTON;;;UN;593,00;1.191,93;173,00;441,58;347,73;93,85;21,25;0,00;0,00;0,02;6,21;MARÇO
